nom,prenom,occupation,age,taille,poids,options,genre,label
DE WISIGOTHIE,Rose,Etudiante,22,1.72,53,2,La France,0
DE MONTCLAR,Florine,Travail:temps partiel,22,1.96,57,2,Amerique,0
DE CHAMPAGNE,Abigail,Travail:temps partiel,27,1.64,47,4,Asie,1
SCHNEBLI,Colette,Travail:temps plein,25,1.64,60,2,La France,0
DE MONTMORENCY,Ambre,Travail:temps plein,22,1.92,68,2,Asie,0
DE FRANCIE,Tiphaine,Travail:temps plein,22,1.87,45,4,Afrique,0
D eGYPTE,Eglantine,Travail:temps partiel,24,1.58,73,2,La France,0
MALTAIS,Celine,Travail:temps partiel,22,1.78,53,3,Europe (autre que la France),1
DE NORMANDIE,Ludivine,Etudiante,26,1.65,69,2,La France,0
WUETRICH,Amandine,Travail:temps plein,22,1.81,75,3,La France,0
D AUSTRASIE,Eliane,Travail:temps plein,27,1.99,72,2,Afrique,0
DE ROME,Blandine,Etudiante,26,1.66,75,4,Amerique,0
CAROLINGIEN,Anais,Travail:temps partiel,25,1.71,52,3,Afrique,1
DE SAXE,Esther,Etudiante,25,1.71,59,1,Amerique,0
SNIVELY,Eleonore,Etudiante,25,1.72,50,2,La France,0
DE VERMANDOIS,Manon,Travail:temps partiel,26,1.8,70,1,Amerique,0
BOULIANNE,Hermine,Etudiante,22,1.93,60,2,Afrique,0
SANDOZ GENDRE,Cyrielle,Travail:temps plein,23,1.58,50,2,La France,0
SNIVELY,Adelaide,Etudiante,22,1.86,74,2,Europe (autre que la France),0
DE PROVENCE,Lydia,Etudiante,22,1.55,67,1,Afrique,0
DE LIMOGES,Athenais,Etudiante,25,1.5,70,4,Amerique,0
GOBEIL,MylEne,Travail:temps partiel,23,1.88,65,2,Amerique,0
DE FRANCIE,Sibylle,Travail:temps partiel,25,1.6,51,1,Afrique,0
DE SAXE,Florine,Etudiante,25,1.88,53,2,Afrique,0
GOBEIL,Lucile,Travail:temps plein,26,1.57,60,4,La France,0
DE NORMANDIE,Armelle,Travail:temps plein,24,1.93,66,4,La France,0
SCHNEBLI,Victoria,Etudiante,26,1.79,52,3,Asie,1
DE LOMBARDIE,Sixtine,Etudiante,22,1.59,47,3,Europe (autre que la France),0
SNAVELY,Ludivine,Travail:temps plein,24,1.53,73,1,Afrique,0
D AQUITAINE,Melodie,Etudiante,25,1.95,68,3,Afrique,0
D AUSTRASIE,Melodie,Travail:temps plein,23,1.58,54,1,Afrique,0
DE HALLUIN,Laureline,Travail:temps plein,27,1.76,69,2,Amerique,0
DE THURINGE,Zoe,Etudiante,22,1.9,72,4,Amerique,0
DE DANEMARK,Claire,Travail:temps plein,26,1.59,61,1,Europe (autre que la France),0
D AQUITAINE,Auriane,Travail:temps partiel,25,1.79,72,2,Afrique,0
DE COLOGNE,Elise,Travail:temps partiel,22,1.6,50,4,Asie,1
SNAVELY,Eglantine,Travail:temps partiel,27,1.76,74,2,Europe (autre que la France),0
D AUSTRASIE,Aline,Travail:temps plein,25,1.77,64,1,Afrique,0
SNIVELY,Sixtine,Etudiante,26,1.91,65,4,Asie,0
D eGYPTE,Seraphine,Travail:temps partiel,27,1.84,74,2,La France,0
LACHARITe,Eugenie,Travail:temps plein,26,1.66,51,1,Amerique,0
BOULIANNE,Anna,Etudiante,22,1.97,54,3,Europe (autre que la France),0
DE CHAMPAGNE,Zelie,Travail:temps plein,27,1.94,68,1,La France,0
WUETRICH,Mathilde,Travail:temps plein,25,1.75,74,4,Amerique,0
DE GASCOGNE,AdEle,Travail:temps partiel,26,1.7,54,4,Asie,1
DE TOULOUSE,Jeanne,Travail:temps partiel,22,1.61,71,4,Amerique,0
D AUSTRASIE,Clara,Travail:temps plein,27,1.95,60,2,Europe (autre que la France),0
DE BAVIERE,Gwenaelle,Travail:temps partiel,26,1.7,60,1,Afrique,0
DE GASCOGNE,Rose,Travail:temps plein,24,1.55,51,2,La France,0
DE BURGONDIE,Aimee,Travail:temps plein,24,1.89,53,3,Asie,0
DE WISIGOTHIE,Manon,Travail:temps partiel,25,1.77,73,3,Asie,0
D ANGOULEME,Alice,Travail:temps partiel,22,1.72,64,3,Europe (autre que la France),1
SCHNEBLI,Lucie,Travail:temps partiel,24,1.75,45,1,Europe (autre que la France),0
DE BAVIERE,Clara,Travail:temps partiel,27,1.9,49,1,Asie,0
LACHARITe,Luce,Travail:temps partiel,26,1.84,68,1,Asie,0
DE TOXANDRIE,Jeanne,Travail:temps partiel,26,1.89,67,3,Afrique,1
DE BAVIERE,Eve,Travail:temps plein,27,1.65,50,3,Asie,0
LACHARITe,Elisabeth,Travail:temps partiel,22,1.66,60,3,La France,1
DE TOXANDRIE,Blandine,Etudiante,26,1.94,50,3,Europe (autre que la France),0
SCHNEBLI,Abigail,Travail:temps partiel,24,1.6,55,4,Amerique,1
DE ROME,Florine,Etudiante,22,1.58,74,3,Afrique,0
SANDOZ GENDRE,Grace,Travail:temps plein,25,1.96,66,4,La France,0
BUJOLD,Laureline,Etudiante,22,1.77,50,2,Europe (autre que la France),0
DE GASCOGNE,Auriane,Etudiante,27,1.64,54,3,Europe (autre que la France),1
WUETRICH,Morgane,Travail:temps partiel,22,1.91,65,3,Afrique,0
BUJOLD,Charlotte,Travail:temps partiel,26,1.86,48,1,Afrique,0
DE COURTENAY,Julia,Etudiante,23,1.76,67,2,Afrique,0
DE SAXE,Marine,Travail:temps partiel,24,1.62,64,1,La France,0
SNIVELY,Olivia,Travail:temps plein,24,1.83,48,1,Afrique,0
DE COURTENAY,Abigaelle,Travail:temps partiel,25,1.51,75,4,Asie,0
DE SAXE,Ludivine,Travail:temps partiel,23,1.77,47,2,Amerique,0
DE PROVENCE,Aure,Etudiante,22,1.83,55,2,La France,0
DE LOMBARDIE,Brune,Etudiante,23,1.9,74,3,La France,0
SNIVELY,Zoe,Etudiante,23,1.74,45,1,La France,0
DE COLOGNE,Blanche,Etudiante,26,1.95,71,1,Asie,0
DE MONTCLAR,Agathe,Travail:temps partiel,22,1.93,47,4,Afrique,0
D ANGLETERRE,Amandine,Etudiante,27,1.54,73,4,Europe (autre que la France),0
D AUSTRASIE,Brune,Etudiante,24,1.68,58,4,Europe (autre que la France),1
DE SAXE,Rosalie,Etudiante,24,1.97,74,3,Amerique,0
SANDOZ GENDRE,Tatiana,Travail:temps partiel,25,1.89,74,3,Afrique,0
D ANGOULEME,Lina,Travail:temps plein,22,1.74,67,1,Europe (autre que la France),0
BUJOLD,Hermione,Etudiante,23,1.96,62,4,Europe (autre que la France),0
DE FRANCIE,Noelie,Travail:temps plein,25,1.59,45,1,Asie,0
D AQUITAINE,Margaux,Travail:temps partiel,27,1.97,57,2,Asie,0
DE NAVARRE,Eleonore,Etudiante,24,1.77,72,4,Amerique,0
DE FRANCIE,Berenice,Etudiante,23,1.88,46,1,Europe (autre que la France),0
D eGYPTE,Manon,Travail:temps partiel,22,1.87,66,4,La France,1
MALTAIS,Laureline,Travail:temps partiel,24,1.5,50,4,Afrique,0
D AUSTRASIE,Amandine,Travail:temps partiel,25,1.9,59,2,Europe (autre que la France),0
WUETRICH,Celeste,Travail:temps plein,26,1.9,54,3,Amerique,0
GAUDREAULT,Marine,Travail:temps partiel,27,1.61,59,2,Afrique,0
DE ROHAN,Aimee,Travail:temps partiel,26,1.9,51,4,Asie,0
GAUDREAULT,Elisabeth,Travail:temps plein,24,1.92,61,2,Asie,0
DE ROHAN,Romane,Travail:temps partiel,22,1.74,46,1,Amerique,0
D ALeMANIE,Alix,Travail:temps partiel,24,1.56,47,2,Europe (autre que la France),0
DE FRANCIE,Line,Travail:temps plein,22,1.83,70,3,Afrique,0
DE FRANCIE,Aglae,Travail:temps plein,23,1.87,59,2,Amerique,0
DE ROHAN,Claire,Etudiante,22,1.95,65,1,Amerique,0
CAROLINGIEN,Lucie,Travail:temps partiel,23,1.73,48,2,Asie,0
DE SAXE,Charlotte,Etudiante,26,1.72,74,2,Europe (autre que la France),0
D eGYPTE,Camille,Etudiante,22,1.61,73,1,Asie,0
DE ROHAN,Flore,Travail:temps plein,24,1.5,70,4,Amerique,0
DE BURGONDIE,Angeline,Travail:temps plein,27,1.74,55,1,Amerique,0
D AUSTRASIE,Lena,Travail:temps partiel,26,1.94,57,1,La France,0
D AQUITAINE,Hermione,Travail:temps plein,23,1.93,61,2,La France,0
DE WISIGOTHIE,Emma,Travail:temps plein,22,1.94,60,3,La France,0
WUETRICH,Cyrielle,Etudiante,22,1.64,52,4,Europe (autre que la France),1
DE VERMANDOIS,Barbara,Travail:temps partiel,26,1.92,74,1,Asie,0
SNIVELY,Stephanie,Travail:temps partiel,23,1.72,56,1,Afrique,0
BOULIANNE,Ysaline,Etudiante,27,1.57,57,1,La France,0
DE FRANCIE,Ludivine,Travail:temps partiel,22,1.78,54,1,Europe (autre que la France),0
SCHNEBLI,Lyne,Travail:temps plein,26,1.7,67,2,Asie,0
SANDOZ GENDRE,Apolline,Travail:temps partiel,25,1.92,63,4,Afrique,0
DE BURGONDIE,SolEne,Etudiante,23,1.96,64,2,Afrique,0
D ANGLETERRE,Anna,Travail:temps plein,26,1.96,52,3,Afrique,0
D ANGOULEME,Blandine,Travail:temps partiel,27,1.59,57,4,Afrique,0
GOBEIL,Line,Travail:temps plein,22,1.72,55,1,Afrique,0
GAUDREAULT,Iris,Travail:temps plein,23,1.99,60,1,Europe (autre que la France),0
DE BURGONDIE,Agathe,Travail:temps plein,27,1.95,71,3,La France,0
DE BURGONDIE,Aglae,Travail:temps partiel,26,1.51,73,3,Amerique,0
DE GASCOGNE,Lise,Travail:temps plein,23,1.78,52,1,Afrique,0
DE HALLUIN,Heloise,Travail:temps partiel,23,1.88,69,2,Europe (autre que la France),0
DE LUXEMBOURG,Athenais,Travail:temps plein,27,1.71,46,2,Amerique,0
DE BAVIERE,Iris,Travail:temps plein,27,1.87,57,1,La France,0
DE ROME,InEs,Etudiante,25,1.55,74,2,Afrique,0
DE VERMANDOIS,Eva,Travail:temps partiel,23,1.52,46,1,Asie,0
DE BAVIERE,Maria,Travail:temps plein,24,1.6,60,1,Afrique,0
DE TOULOUSE,Hermine,Travail:temps partiel,22,1.89,63,4,Europe (autre que la France),1
DE MONTCLAR,Lucile,Etudiante,23,1.54,56,4,Europe (autre que la France),0
DE BAVIERE,Marine,Travail:temps plein,23,1.91,49,2,Afrique,0
D ANGLETERRE,Lea,Travail:temps partiel,27,1.78,69,4,Europe (autre que la France),1
DE NAVARRE,Agathe,Travail:temps plein,26,1.76,49,1,Europe (autre que la France),0
DE ROHAN,Catherine,Travail:temps partiel,24,1.51,56,3,Amerique,0
DE MONTMORENCY,Jeanne,Travail:temps partiel,24,1.63,50,1,Asie,0
DE TOULOUSE,Alice,Travail:temps plein,22,1.76,55,4,Asie,0
SANDOZ GENDRE,Fleur,Travail:temps partiel,27,1.71,49,1,Asie,0
DE COURTENAY,Lydia,Etudiante,22,1.96,54,2,Asie,0
DE LUXEMBOURG,Ambrine,Etudiante,22,1.87,59,4,Amerique,1
DE TOULOUSE,Anna,Travail:temps plein,27,1.79,47,1,Afrique,0
DE TOXANDRIE,Thais,Etudiante,27,1.71,63,2,Asie,0
DE WISIGOTHIE,Lena,Etudiante,25,1.5,66,4,La France,0
DE SAXE,Juliette,Etudiante,22,1.96,64,4,Afrique,0
CAROLINGIEN,Jacinthe,Etudiante,22,1.67,63,2,Europe (autre que la France),0
DE TOULOUSE,Melodie,Etudiante,22,1.63,69,3,Europe (autre que la France),1
MALTAIS,Lucie,Travail:temps plein,25,1.96,74,4,La France,0
DE CASTILLE,Lina,Travail:temps plein,25,1.72,63,1,Amerique,0
DE WISIGOTHIE,Noelie,Travail:temps plein,26,1.85,49,3,Europe (autre que la France),0
DE HALLEWIN,Suzon,Etudiante,22,1.68,74,2,Europe (autre que la France),0
DE BURGONDIE,Claire,Travail:temps partiel,22,1.79,70,1,La France,0
DE LIMOGES,Line,Travail:temps plein,26,1.56,72,2,Afrique,0
DE CHAMPAGNE,Julia,Travail:temps plein,27,1.97,66,2,Asie,0
SNIVELY,Prune,Travail:temps partiel,26,1.99,46,4,Asie,0
DE LOMBARDIE,Capucine,Travail:temps partiel,23,1.52,61,3,Afrique,0
DE MONTMORENCY,Isaure,Travail:temps partiel,25,1.51,45,3,Afrique,0
CAROLINGIEN,SolEne,Travail:temps plein,26,1.61,45,4,Afrique,0
SNIVELY,Amelie,Travail:temps partiel,25,1.99,70,2,Europe (autre que la France),0
D ANGOULEME,Barbara,Travail:temps partiel,26,1.85,69,4,Amerique,1
D AUTRICHE,Juliette,Travail:temps plein,22,1.85,57,1,La France,0
DE LOMBARDIE,Zelie,Travail:temps plein,23,1.61,55,4,Europe (autre que la France),0
DE GASCOGNE,Eglantine,Travail:temps plein,24,1.59,49,3,Amerique,0
DE NORMANDIE,Evangeline,Etudiante,24,1.59,48,1,Europe (autre que la France),0
D eGYPTE,Iris,Travail:temps partiel,23,1.72,58,1,La France,0
DE GASCOGNE,Elise,Etudiante,27,1.51,75,1,La France,0
DE THURINGE,Stephanie,Etudiante,24,1.92,63,1,Afrique,0
LACHARITe,Alexine,Travail:temps plein,25,1.71,58,1,Afrique,0
DE CHAMPAGNE,Armance,Etudiante,25,1.57,64,4,Asie,0
D AUTRICHE,Julia,Travail:temps partiel,24,1.96,49,1,Asie,0
DE HAINAUT,Lucie,Travail:temps partiel,27,1.83,45,3,Asie,1
GAUDREAULT,Anna,Travail:temps partiel,24,1.61,50,3,Asie,1
DE ROHAN,Ysaline,Travail:temps partiel,22,1.59,69,2,Europe (autre que la France),0
DE TOULOUSE,Florine,Travail:temps plein,26,1.55,56,4,Asie,0
DE CASTILLE,Rosalie,Travail:temps partiel,22,1.5,74,4,Amerique,0
DE MONTCLAR,Eglantine,Travail:temps partiel,24,1.5,75,3,Asie,0
DE GASCOGNE,Morgane,Travail:temps partiel,27,1.65,69,1,Afrique,0
DE COURTENAY,Jade,Travail:temps partiel,26,1.92,70,3,Asie,0
DE SAVOIE,HelEne,Etudiante,25,1.99,54,3,La France,0
D AUTRICHE,Coralie,Travail:temps plein,23,1.81,67,4,La France,0
DE SAXE,MylEne,Travail:temps partiel,23,1.89,74,1,Asie,0
WUETRICH,Abigail,Travail:temps partiel,24,1.85,66,3,Afrique,1
DE LUXEMBOURG,Brune,Travail:temps partiel,27,1.51,47,1,Europe (autre que la France),0
GOBEIL,Prune,Travail:temps partiel,27,1.79,73,4,La France,0
DE COURTENAY,Gabrielle,Travail:temps plein,27,1.66,49,1,Afrique,0
BOULIANNE,Eve,Travail:temps partiel,22,1.99,53,3,Amerique,0
DE MONTMORENCY,Isaure,Travail:temps plein,27,1.67,71,1,Europe (autre que la France),0
SNAVELY,Nathalie,Travail:temps partiel,24,1.85,50,2,Afrique,0
DE PROVENCE,MylEne,Etudiante,26,1.79,57,4,Afrique,1
DE MONTCLAR,Louise,Travail:temps partiel,25,1.94,47,3,La France,0
CAROLINGIEN,Auriane,Etudiante,27,1.87,63,1,Afrique,0
DE CHAMPAGNE,Tatiana,Travail:temps partiel,25,1.62,71,4,La France,0
DE COLOGNE,Emma,Etudiante,26,1.54,70,3,Europe (autre que la France),0
DE HALLUIN,Alexine,Etudiante,25,1.58,66,2,Amerique,0
D ALeMANIE,Grace,Travail:temps partiel,27,1.91,65,1,Afrique,0
MALTAIS,Armelle,Etudiante,26,1.96,72,3,Amerique,0
DE HALLUIN,Victoria,Etudiante,23,1.98,55,3,La France,0
DE COLOGNE,Charlotte,Travail:temps plein,22,1.58,61,1,Europe (autre que la France),0
DE COLOGNE,Abigaelle,Etudiante,25,1.79,57,1,La France,0
DE NORMANDIE,Romane,Etudiante,25,1.83,61,3,La France,1
DE BAVIERE,Ambrine,Etudiante,26,1.72,47,2,Asie,0
DE MONTCLAR,Hermione,Etudiante,22,1.78,56,2,La France,0
BUJOLD,Florine,Travail:temps partiel,25,1.59,45,4,Afrique,0
DE PROVENCE,Anais,Travail:temps plein,24,1.72,71,3,Amerique,0
D AUSTRASIE,Hermine,Etudiante,25,1.72,54,3,Amerique,1
BUJOLD,Evangeline,Etudiante,24,1.6,73,3,Amerique,0
DE FRANCIE,Hermine,Travail:temps plein,24,1.94,64,4,Amerique,0
DE LIMOGES,Lucile,Etudiante,24,1.64,57,2,Europe (autre que la France),0
DE CASTILLE,Louise,Travail:temps plein,23,1.84,73,1,Asie,0
D ALeMANIE,Lina,Travail:temps plein,25,1.63,69,2,Amerique,0
SCHNEBLI,Melodie,Travail:temps partiel,24,1.77,70,2,Europe (autre que la France),0
DE HALLUIN,Colette,Travail:temps partiel,26,1.8,67,4,Asie,1
DE CHAMPAGNE,Lena,Etudiante,27,1.79,61,1,Amerique,0
D AQUITAINE,LaurEne,Travail:temps plein,26,1.74,57,4,Amerique,0
DE SAXE,Fleur,Travail:temps partiel,22,1.95,57,2,Europe (autre que la France),0
DE NORMANDIE,Angeline,Etudiante,25,1.83,52,1,Afrique,0
MALTAIS,Angeline,Travail:temps partiel,26,1.7,74,2,La France,0
D AUSTRASIE,Laetitia,Etudiante,25,1.76,56,3,Amerique,1
DE LUXEMBOURG,Abigaelle,Travail:temps partiel,22,1.91,74,3,Amerique,0
DE VERMANDOIS,Ambre,Travail:temps partiel,24,1.81,56,2,Europe (autre que la France),0
WUETRICH,Esther,Travail:temps plein,27,1.8,71,1,Amerique,0
DE BURGONDIE,Iris,Travail:temps partiel,22,1.87,66,3,Europe (autre que la France),1
GOBEIL,Lauriane,Etudiante,24,1.67,59,1,La France,0
DE DANEMARK,Manon,Travail:temps partiel,25,1.73,52,4,La France,1
SCHNEBLI,Clemence,Travail:temps partiel,25,1.72,59,3,La France,1
DE BAVIERE,Eugenie,Etudiante,27,1.99,68,2,Asie,0
DE DANEMARK,Angeline,Travail:temps partiel,26,1.52,68,1,Europe (autre que la France),0
DE TOXANDRIE,Apolline,Etudiante,22,1.65,45,1,Asie,0
D AUSTRASIE,Audrey,Travail:temps plein,22,1.89,70,4,Afrique,0
D AUSTRASIE,Ysaline,Travail:temps partiel,26,1.63,66,4,La France,1
D ANGLETERRE,Louise,Travail:temps plein,25,1.88,60,3,La France,0
D ANGOULEME,Mathilde,Travail:temps partiel,22,1.98,59,3,Amerique,0
DE TOULOUSE,Juliette,Travail:temps partiel,27,1.92,73,2,Afrique,0
DE HALLEWIN,Celeste,Etudiante,25,1.89,62,4,La France,1
DE TOULOUSE,Capucine,Travail:temps plein,27,1.95,46,2,La France,0
DE THURINGE,Lou,Travail:temps partiel,23,1.63,50,4,La France,1
D ALeMANIE,Anna,Etudiante,26,1.72,72,2,Amerique,0
DE TOXANDRIE,Camille,Etudiante,22,1.61,47,1,Europe (autre que la France),0
GOBEIL,Iris,Etudiante,24,1.79,72,1,Amerique,0
D AUSTRASIE,Tatiana,Travail:temps partiel,26,1.64,49,2,Afrique,0
BUJOLD,Catherine,Travail:temps plein,25,1.6,46,2,Europe (autre que la France),0
D AQUITAINE,Elise,Etudiante,24,1.61,63,2,Amerique,0
DE LUXEMBOURG,Sarah,Travail:temps plein,22,1.94,66,2,Afrique,0
DE PROVENCE,Adelie,Etudiante,22,1.92,75,4,Amerique,0
DE COLOGNE,Colette,Travail:temps plein,27,1.94,45,4,Europe (autre que la France),0
DE HALLEWIN,Adeline,Travail:temps plein,25,1.74,47,3,Asie,0
DE ROME,Solenn,Etudiante,24,1.95,71,4,Europe (autre que la France),0
D AQUITAINE,Victoire,Travail:temps partiel,22,1.72,64,4,La France,1
D ANGLETERRE,Agathe,Travail:temps plein,25,1.77,64,1,Amerique,0
DE LIMOGES,Adeline,Travail:temps plein,23,1.7,50,4,La France,0
BOULIANNE,Leonie,Travail:temps partiel,24,1.79,64,1,Asie,0
DE VERMANDOIS,Chloe,Etudiante,27,1.73,55,4,Amerique,1
DE HAINAUT,Manon,Travail:temps partiel,27,1.55,46,3,Europe (autre que la France),0
DE NAVARRE,Blanche,Travail:temps plein,23,1.81,51,2,La France,0
D ANGOULEME,Alexine,Travail:temps partiel,25,1.86,46,3,Amerique,1
DE NORMANDIE,Evangeline,Travail:temps partiel,23,1.91,69,2,Asie,0
DE ROME,Olivia,Travail:temps plein,23,1.66,68,1,Europe (autre que la France),0
DE ROHAN,Isaure,Travail:temps partiel,24,1.93,75,2,La France,0
DE FRANCIE,Aude,Etudiante,26,1.84,74,2,Amerique,0
SNAVELY,Rose,Travail:temps plein,25,1.7,50,2,Afrique,0
LACHARITe,Mathilde,Travail:temps partiel,23,1.68,72,4,La France,0
D ANGLETERRE,Auxane,Travail:temps plein,26,1.61,51,3,Asie,0
D ALeMANIE,Louise,Etudiante,26,1.67,48,2,Afrique,0
DE THURINGE,Zelie,Travail:temps partiel,27,1.77,50,2,Amerique,0
DE HALLUIN,Aimee,Travail:temps plein,23,1.63,66,3,Europe (autre que la France),0
DE MONTMORENCY,Marilou,Etudiante,25,1.93,63,2,Amerique,0
CAROLINGIEN,Sibylle,Travail:temps plein,25,1.8,52,3,Amerique,0
DE LUXEMBOURG,Olivia,Etudiante,22,1.69,58,4,Asie,1
DE GASCOGNE,Anais,Travail:temps partiel,27,1.63,71,3,Afrique,0
D eGYPTE,Julia,Travail:temps partiel,25,1.84,64,2,Europe (autre que la France),0
GAUDREAULT,Jade,Travail:temps partiel,24,1.73,49,3,Asie,1
SNAVELY,Clarisse,Travail:temps partiel,24,1.66,59,1,Afrique,0
D ALeMANIE,Marceline,Etudiante,26,1.6,73,4,Amerique,0
DE TOULOUSE,Isaure,Etudiante,24,1.66,49,3,Europe (autre que la France),1
DE ROME,Rose,Travail:temps plein,26,1.92,63,1,Afrique,0
DE VERMANDOIS,France,Etudiante,22,1.87,68,1,Asie,0
BUJOLD,Nathalie,Etudiante,25,1.84,54,2,Afrique,0
BUJOLD,Zoe,Travail:temps partiel,22,1.66,72,4,La France,0
SNAVELY,Berenice,Etudiante,25,1.91,49,3,Afrique,0
DE FRANCIE,Coralie,Etudiante,24,1.88,49,4,Afrique,1
DE ROME,Charlotte,Etudiante,24,1.9,69,1,Europe (autre que la France),0
D ALeMANIE,Leonie,Travail:temps partiel,26,1.77,63,1,Afrique,0
DE TOXANDRIE,France,Travail:temps partiel,25,1.93,65,1,Afrique,0
DE LIMOGES,InEs,Travail:temps partiel,24,1.5,74,2,Amerique,0
MALTAIS,Stephanie,Etudiante,25,1.52,73,3,La France,0
DE GASCOGNE,Margot,Travail:temps partiel,22,1.88,58,2,Asie,0
DE MONTCLAR,Claire,Etudiante,24,1.78,56,3,Afrique,1
GOBEIL,Lea,Travail:temps plein,26,1.95,75,2,Afrique,0
DE HALLUIN,Clara,Travail:temps plein,27,1.87,75,4,Asie,0
DE MONTCLAR,Aubane,Etudiante,23,1.6,60,3,Afrique,1
DE ROME,Aline,Etudiante,22,1.51,70,1,Afrique,0
DE LUXEMBOURG,Clemence,Travail:temps plein,26,1.95,74,1,Amerique,0
DE COURTENAY,Lea,Travail:temps partiel,25,1.8,70,1,Asie,0
D AUTRICHE,Penelope,Travail:temps plein,24,1.79,61,1,Asie,0
SANDOZ GENDRE,Celeste,Travail:temps plein,23,1.98,45,4,Europe (autre que la France),0
DE THURINGE,Tiphaine,Etudiante,26,1.76,57,3,Asie,1
GOBEIL,Emmanuelle,Travail:temps partiel,25,1.76,53,3,Amerique,1
D eGYPTE,Grace,Travail:temps partiel,23,1.77,52,3,Afrique,1
DE CHAMPAGNE,Iris,Travail:temps plein,24,1.87,45,3,Afrique,0
DE LOMBARDIE,Alix,Travail:temps plein,26,1.57,71,4,La France,0
DE COLOGNE,Cyrielle,Travail:temps plein,25,1.66,73,4,Asie,0
DE COLOGNE,Laureline,Travail:temps partiel,25,1.72,64,2,Europe (autre que la France),0
DE HALLEWIN,Flavie,Travail:temps partiel,25,1.52,67,2,La France,0
DE FRANCIE,Penelope,Etudiante,27,1.71,69,2,La France,0
DE LIMOGES,Armance,Etudiante,26,1.7,63,3,Afrique,1
DE CHAMPAGNE,Brune,Travail:temps plein,23,1.54,73,4,Europe (autre que la France),0
D AUSTRASIE,Gabrielle,Etudiante,27,1.85,56,1,La France,0
DE NORMANDIE,Victoria,Travail:temps partiel,27,1.59,65,2,La France,0
LACHARITe,Victoire,Travail:temps partiel,22,1.5,52,1,Amerique,0
D ANGOULEME,Gwenaelle,Etudiante,25,1.72,47,4,La France,1
DE TOULOUSE,Flavie,Etudiante,23,1.57,71,3,Afrique,0
DE SAXE,Capucine,Etudiante,22,1.58,60,2,Afrique,0
DE DANEMARK,Nathalie,Travail:temps partiel,26,1.51,48,4,Afrique,0
DE TOULOUSE,Prune,Etudiante,22,1.52,67,3,La France,0
DE LOMBARDIE,Elise,Travail:temps partiel,22,1.86,71,3,La France,0
DE ROHAN,Seraphine,Travail:temps partiel,22,1.53,63,2,Europe (autre que la France),0
GOBEIL,Juliette,Travail:temps partiel,23,1.82,74,3,La France,0
D AUTRICHE,Marilou,Etudiante,22,1.98,63,1,Amerique,0
DE TOULOUSE,Noelie,Travail:temps partiel,25,1.98,45,4,Europe (autre que la France),0
WUETRICH,Armance,Etudiante,26,1.59,52,1,Europe (autre que la France),0
D ANGOULEME,Lea,Travail:temps partiel,27,1.81,52,2,Afrique,0
DE BAVIERE,Sarah,Etudiante,23,1.92,54,2,Afrique,0
DE WISIGOTHIE,Catherine,Etudiante,26,1.78,65,1,Afrique,0
DE TOXANDRIE,Margaux,Etudiante,25,1.88,66,3,Amerique,1
DE SAXE,Eliane,Etudiante,26,1.99,70,3,La France,0
DE PROVENCE,Artemis,Travail:temps plein,25,1.83,58,3,Afrique,0
D ALeMANIE,Aude,Etudiante,23,1.65,48,4,Asie,1
DE MONTMORENCY,Solenn,Travail:temps partiel,25,1.99,50,3,Amerique,0
DE NORMANDIE,Daphne,Etudiante,23,1.65,50,2,La France,0
SANDOZ GENDRE,Eve,Travail:temps plein,23,1.59,46,1,Amerique,0
DE SAVOIE,Iris,Travail:temps partiel,26,1.61,62,1,Afrique,0
DE BAVIERE,Leonie,Travail:temps plein,25,1.96,66,4,Asie,0
DE COURTENAY,SolEne,Etudiante,22,1.65,70,1,La France,0
D ANGOULEME,Eglantine,Travail:temps plein,25,1.92,75,2,Asie,0
DE NORMANDIE,Alice,Etudiante,23,1.77,49,2,Amerique,0
DE NAVARRE,Tatiana,Etudiante,24,1.7,45,1,Amerique,0
CAROLINGIEN,HelEne,Travail:temps partiel,23,1.53,70,2,Amerique,0
BOULIANNE,Suzon,Etudiante,23,1.63,68,1,Asie,0
SCHNEBLI,Aimee,Travail:temps partiel,22,1.93,73,4,La France,0
WUETRICH,France,Etudiante,23,1.58,50,3,Afrique,0
DE HALLEWIN,Elise,Travail:temps partiel,25,1.58,63,1,Asie,0
SNIVELY,Angeline,Travail:temps partiel,24,1.95,69,3,La France,0
D eGYPTE,Stephanie,Travail:temps plein,23,1.62,69,4,Amerique,0
DE COLOGNE,Lea,Travail:temps partiel,24,1.5,57,1,Afrique,0
DE THURINGE,Fantine,Travail:temps plein,25,1.86,71,4,Asie,0
DE SAVOIE,Audrey,Etudiante,23,1.73,65,2,Asie,0
DE TOXANDRIE,Athenais,Travail:temps partiel,26,1.67,74,4,Asie,0
DE MONTMORENCY,Anna,Travail:temps partiel,25,1.63,72,2,Europe (autre que la France),0
CAROLINGIEN,Auxane,Travail:temps partiel,27,1.89,60,4,Afrique,1
DE SAVOIE,Auxane,Travail:temps plein,22,1.5,63,1,La France,0
DE COURTENAY,Ysaline,Travail:temps plein,22,1.57,46,1,Amerique,0
DE COURTENAY,Eugenie,Travail:temps partiel,25,1.54,67,1,Asie,0
DE HAINAUT,Flore,Etudiante,25,1.66,63,2,La France,0
D ANGLETERRE,Laureline,Travail:temps partiel,26,1.8,52,4,La France,1
GOBEIL,Zoe,Travail:temps partiel,26,1.84,59,3,La France,1
